plate_number,location,timestamp,camera_id
DL-01-GH-4445,Mumbai,2026-06-04 01:18:49,CAM-841
MH-02-EF-3333,Jaipur,2026-08-04 06:41:27,CAM-498
MH-12-AB-1111,Mumbai,2026-07-27 10:00:22,CAM-820
MH-12-AB-1111,Pune,2026-05-28 14:54:53,CAM-412
DL-01-GH-4444,Gurgaon,2026-06-04 00:47:07,CAM-779
DL-01-GH-4445,Pune,2026-07-29 20:33:08,CAM-141
MH-02-EF-3333,Delhi,2026-07-31 00:27:28,CAM-144
RJ-14-CD-2222,Mumbai,2026-07-06 01:32:29,CAM-129
MH-02-EF-3333,Noida,2026-07-28 12:56:01,CAM-740
MH-12-AB-1111,Delhi,2026-07-03 17:43:02,CAM-648
DL-01-GH-4445,Pune,2026-08-18 03:40:19,CAM-564
DL-01-GH-4445,Pune,2026-05-31 13:17:41,CAM-125
RJ-14-CD-2222,Jaipur,2026-08-09 13:25:32,CAM-118
DL-01-GH-4444,Gurgaon,2026-07-16 06:37:06,CAM-935
MH-12-AB-1111,Delhi,2026-08-13 15:03:47,CAM-798
MH-12-AB-1111,Gurgaon,2026-07-06 14:23:47,CAM-411
DL-01-GH-4445,Jaipur,2026-07-19 12:40:49,CAM-952
RJ-14-CD-2222,Jaipur,2026-06-30 02:44:03,CAM-459
UP-16-IJ-5555,Jaipur,2026-07-18 03:15:29,CAM-602
DL-01-GH-4445,Pune,2026-08-12 05:33:40,CAM-601
DL-01-GH-4445,Noida,2026-08-21 03:40:51,CAM-975
UP-16-IJ-5555,Mumbai,2026-07-16 22:15:50,CAM-158
DL-01-GH-4444,Gurgaon,2026-06-18 22:37:02,CAM-106
DL-01-GH-4445,Jaipur,2026-07-05 11:16:22,CAM-945
RJ-14-CD-2222,Noida,2026-06-07 11:44:55,CAM-960
UP-16-IJ-5555,Pune,2026-06-28 02:38:04,CAM-442
MH-12-AB-1111,Mumbai,2026-07-21 01:09:59,CAM-252
MH-02-EF-3333,Mumbai,2026-06-29 17:02:55,CAM-458
RJ-14-CD-2222,Noida,2026-06-14 19:24:11,CAM-344
UP-16-IJ-5555,Jaipur,2026-07-07 04:21:26,CAM-278
DL-01-GH-4445,Noida,2026-06-27 08:23:02,CAM-869
DL-01-GH-4445,Gurgaon,2026-07-13 05:52:26,CAM-957
DL-01-GH-4444,Mumbai,2026-06-06 19:46:30,CAM-378
UP-16-IJ-5555,Gurgaon,2026-07-20 09:41:42,CAM-557
MH-02-EF-3333,Pune,2026-06-19 11:25:11,CAM-543
MH-12-AB-1111,Jaipur,2026-06-24 09:57:52,CAM-287
MH-02-EF-3333,Jaipur,2026-06-10 02:47:10,CAM-261
DL-01-GH-4444,Noida,2026-06-19 09:25:30,CAM-149
DL-01-GH-4444,Noida,2026-07-07 06:46:15,CAM-748
DL-01-GH-4445,Mumbai,2026-07-07 19:37:33,CAM-717
UP-16-IJ-5555,Jaipur,2026-05-29 02:16:16,CAM-583
MH-02-EF-3333,Pune,2026-06-25 18:44:27,CAM-404
UP-16-IJ-5555,Noida,2026-08-20 12:28:40,CAM-892
RJ-14-CD-2222,Gurgaon,2026-08-24 10:15:41,CAM-380
RJ-14-CD-2222,Pune,2026-07-20 20:57:54,CAM-944
DL-01-GH-4445,Pune,2026-08-21 10:59:59,CAM-902
RJ-14-CD-2222,Pune,2026-06-14 05:06:30,CAM-603
MH-02-EF-3333,Delhi,2026-05-29 17:32:07,CAM-770
RJ-14-CD-2222,Jaipur,2026-07-27 20:34:52,CAM-403
